Datum,Wochentag,Event,Beduetung,Wertung
01.01.13,Dienstag,New Year's Day,National holiday,1
11.02.13,Montag,Shrove Monday,"Observance, Christian",2
12.02.13,Dienstag,Carnival / Shrove Tuesday,"Observance, Christian",2
13.02.13,Mittwoch,Carnival / Ash Wednesday,Silent Day,2
14.02.13,Donnerstag,Valentine's Day,Observance,2
28.03.13,Donnerstag,Maundy Thursday,Silent Day,3
29.03.13,Freitag,Good Friday,"Silent Day, public holiday",2
31.03.13,Sonntag,Easter Sunday,Silent Day,1
01.04.13,Montag,Easter Monday,"National holiday, Christian",1
01.05.13,Mittwoch,May Day,National holiday,3
09.05.13,Donnerstag,Father's Day,Observance,2
12.05.13,Sonntag,Mother's Day,Observance,2
19.05.13,Sonntag,Whit Sunday,"Observance, Christian",3
20.05.13,Montag,Whit Monday,"National holiday, Christian",3
03.10.13,Donnerstag,Day of German Unity,National holiday,2
31.10.13,Donnerstag,Halloween,Observance,2
11.11.13,Montag,St. Martin's Day,"Observance, Christian",2
17.11.13,Sonntag,National Day of Mourning,Silent Day,3
24.11.13,Sonntag,Sunday of the Dead,Silent Day,3
01.12.13,Sonntag,First Advent Sunday,"Observance, Christian",2
06.12.13,Freitag,Saint Nicholas Day,"Observance, Christian",2
08.12.13,Sonntag,Second Advent Sunday,"Observance, Christian",2
15.12.13,Sonntag,Third Advent Sunday,"Observance, Christian",2
22.12.13,Sonntag,Fourth Advent Sunday,"Observance, Christian",2
24.12.13,Dienstag,Christmas Eve,Silent Day,1
25.12.13,Mittwoch,Christmas Day,"National holiday, Christian",1
26.12.13,Donnerstag,Boxing Day,"National holiday, Christian",1
31.12.13,Dienstag,New Year's Eve,Bank holiday,1
01.01.14,Mittwoch,New Year's Day,National holiday,1
14.02.14,Freitag,Valentine's Day,Observance,2
03.03.14,Montag,Shrove Monday,"Observance, Christian",2
04.03.14,Dienstag,Carnival / Shrove Tuesday,"Observance, Christian",2
05.03.14,Mittwoch,Carnival / Ash Wednesday,Silent Day,2
17.04.14,Donnerstag,Maundy Thursday,Silent Day,3
18.04.14,Freitag,Good Friday,"Silent Day, public holiday",2
20.04.14,Sonntag,Easter Sunday,Silent Day,1
21.04.14,Montag,Easter Monday,"National holiday, Christian",1
