"","Datum","Warengruppe","Umsatz","Wochentag","Vortagsumsatz","Umsatz_Vorwoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Wertung","KielerWoche"
"1",2013-07-02,1,159.79375714468,"Dienstag",148.828353112183,159.79375714468,3,17.3125,10,36,4,0
"2",2013-07-02,2,546.780787392297,"Dienstag",535.856284785361,546.780787392297,3,17.3125,10,36,4,0
"3",2013-07-02,3,265.261253994438,"Dienstag",201.198425690037,265.261253994438,3,17.3125,10,36,4,0
"4",2013-07-02,4,74.5439171827412,"Dienstag",65.890168799361,74.5439171827412,3,17.3125,10,36,4,0
"5",2013-07-02,5,383.628681612577,"Dienstag",317.475874933038,383.628681612577,3,17.3125,10,36,4,0
"6",2013-07-03,1,111.885593514353,"Mittwoch",159.79375714468,111.885593514353,7,21.075,6,61,4,0
"7",2013-07-03,2,427.343258749983,"Mittwoch",546.780787392297,427.343258749983,7,21.075,6,61,4,0
"8",2013-07-03,3,210.260241465493,"Mittwoch",265.261253994438,210.260241465493,7,21.075,6,61,4,0
"9",2013-07-03,4,69.2627280649987,"Mittwoch",74.5439171827412,69.2627280649987,7,21.075,6,61,4,0
"10",2013-07-03,5,305.523072325318,"Mittwoch",383.628681612577,305.523072325318,7,21.075,6,61,4,0
"11",2013-07-04,1,168.864940979931,"Donnerstag",111.885593514353,168.864940979931,7,18.85,7,20,4,0
"12",2013-07-04,2,454.859641347987,"Donnerstag",427.343258749983,454.859641347987,7,18.85,7,20,4,0
"13",2013-07-04,3,190.686641378586,"Donnerstag",210.260241465493,190.686641378586,7,18.85,7,20,4,0
"14",2013-07-04,4,61.490175369225,"Donnerstag",69.2627280649987,61.490175369225,7,18.85,7,20,4,0
"15",2013-07-04,5,308.408167942149,"Donnerstag",305.523072325318,308.408167942149,7,18.85,7,20,4,0
"16",2013-07-05,1,171.280754117955,"Freitag",168.864940979931,171.280754117955,5,19.975,12,36,4,0
"17",2013-07-05,2,492.818804066088,"Freitag",454.859641347987,492.818804066088,5,19.975,12,36,4,0
"18",2013-07-05,3,181.644870215041,"Freitag",190.686641378586,181.644870215041,5,19.975,12,36,4,0
"19",2013-07-05,4,86.7598614451924,"Freitag",61.490175369225,86.7598614451924,5,19.975,12,36,4,0
"20",2013-07-05,5,355.518770367742,"Freitag",308.408167942149,355.518770367742,5,19.975,12,36,4,0
"21",2013-07-06,1,174.552359998476,"Samstag",171.280754117955,174.552359998476,0,18.9625,8,36,4,0
"22",2013-07-06,2,631.906068038484,"Samstag",492.818804066088,631.906068038484,0,18.9625,8,36,4,0
"23",2013-07-06,3,291.557959835153,"Samstag",181.644870215041,291.557959835153,0,18.9625,8,36,4,0
"24",2013-07-06,4,80.6465768881107,"Samstag",86.7598614451924,80.6465768881107,0,18.9625,8,36,4,0
"25",2013-07-06,5,361.866932797941,"Samstag",355.518770367742,361.866932797941,0,18.9625,8,36,4,0
"26",2013-07-07,1,92.6377553788373,"Sonntag",174.552359998476,92.6377553788373,0,21.375,9,36,4,0
"27",2013-07-07,2,695.25572963054,"Sonntag",631.906068038484,695.25572963054,0,21.375,9,36,4,0
"28",2013-07-07,3,279.665938833443,"Sonntag",291.557959835153,279.665938833443,0,21.375,9,36,4,0
